,ID,Phrase,Sentiment
0,1,Getting nowhere with surplusage,-1
1,2,But the Court nowhere suggested that it would narrow Bivens existing scope.,-1
2,3,Petitioners objection to shaving his beard clashes with the Arkansas Department of Corrections grooming policy,-1
3,4,That result clashes with everything else,-1
4,5,the tolerable duration of police inquiries in the traffic-stop context is determined by the seizures.,0
5,6,retrial be tolerable if the trial error could resolve the apparent inconsistency in the jurys verdicts.,0
6,7,I would be inclined to agree.,0
7,8,the trial court was inclined to accept the prosecutions second reason for striking Olanders D,1
8,9,a plaintiff could overcome these hurdles where an officer acted in good faith,1
9,10,the procedural hurdles it could impose before returning the money,-1
10,11,Johnson heard more gunfire in the living room and the sound of his assailants leaving.,-1
11,12,approximately one million Americans have been wounded or killed by gunfire in the last decade,-1
12,13,"The slim record on activity at Sullivan & Cromwell,",-1
13,14,"This slim instruction, the jury learned, was notably inaccurate, incomplete, and dated.",-1
14,15,"he and his accomplice drove the family to a remote pond, where Christeson cut Ms. Brouks throat with a bone knife.",-1
15,16,"the accomplice “became associated with [the principals criminal] endeavor and took part in it, intending to assure its success.”",-1
16,17,this leaves a loophole for other devices not so designed which we do not mean to minimize.,-1
17,18,The Court thus reads AEDPA as creating a new loophole,-1
18,19,it was entirely unconnected with the stop,-1
19,20,raised a claim unconnected to the prosecutions decision,-1
20,21,"Any other outcome, we warned, would leave a gaping enforcement hole in Congresss regulatory scheme.",-1
21,22,a black hole of confusion and uncertainty that frustrates any effort to impart,-1
22,23,"The murder of Ms. Harrison was conscienceless, pitiless, and unnecessarily torturous.",-1
23,24,"“so unnecessarily suggestive and conducive to irreparable mistaken identification that [the defendant] was denied due process of law,”",-1
24,25,subjected them to humiliating sexual comments ; and insulted their religion,-1
25,26,"to avoid these invasive, frightening, and humiliating encounters",1
26,27,"to return an unpopular verdict, and the communitys trust in a system that relies on the decisions of laypeople",0
27,28,to blame the unpopular death-sentence reprieve of the most horrible criminals,-1
28,29,I am unwilling to upset the considered judgment of the forensic psychologist .,1
29,30,officers unable or consistently unwilling to provide any relief to aggrieved inmates,-1
